created_at,favorite_count,retweet_count,numbers_of_characters,tweets_per_day
2018-08-28,1195.0,147.0,910.0,9
2018-08-29,1022.0,162.0,2010.0,22
2018-08-30,1234.0,172.0,1328.0,13
2018-08-31,1617.0,267.0,1299.0,17
2018-09-01,1083.0,182.0,1983.0,18
2018-09-02,169.0,16.0,802.0,9
2018-09-04,6.0,0.0,18.0,1
2018-09-05,45.0,10.0,113.0,1
2018-09-06,94.0,11.0,244.0,3
2018-09-07,264.0,31.0,629.0,9
2018-09-08,299.0,46.0,1037.0,12
2018-09-09,411.0,45.0,1130.0,11
2018-09-10,81.0,8.0,117.0,3
2018-09-11,419.0,65.0,698.0,8
2018-09-13,211.0,26.0,132.0,1
2018-09-14,599.0,373.0,322.0,3
2018-09-15,774.0,165.0,314.0,4
2018-09-16,153.0,17.0,271.0,4
2018-09-17,1009.0,175.0,1269.0,14
2018-09-18,138.0,24.0,241.0,2
2018-09-19,426.0,56.0,667.0,7
2018-09-20,208.0,22.0,958.0,10
2018-09-22,786.0,330.0,823.0,8
2018-09-23,333.0,62.0,721.0,7
2018-09-24,216.0,37.0,506.0,6
2018-09-25,2604.0,397.0,1416.0,15
2018-09-26,44.0,6.0,254.0,2
2018-09-27,607.0,61.0,1432.0,14
2018-09-28,505.0,105.0,1356.0,14
2018-09-29,444.0,43.0,1648.0,16
2018-09-30,1293.0,195.0,1251.0,17
2018-10-01,135.0,40.0,421.0,6
2018-10-02,688.0,99.0,2021.0,19
2018-10-03,948.0,126.0,907.0,11
2018-10-04,371.0,27.0,1511.0,15
2018-10-05,426.0,45.0,1165.0,13
2018-10-06,903.0,116.0,1519.0,15
2018-10-07,1209.0,134.0,2565.0,24
2018-10-08,277.0,30.0,768.0,7
2018-10-09,1254.0,166.0,1833.0,15
2018-10-10,456.0,57.0,569.0,6
2018-10-11,569.0,111.0,843.0,9
2018-10-12,3617.0,2479.0,728.0,8
2018-10-13,2142.0,655.0,1531.0,19
2018-10-14,767.0,133.0,875.0,9
2018-10-15,261.0,26.0,1542.0,15
2018-10-16,213.0,24.0,1353.0,14
2018-10-17,138.0,13.0,419.0,4
2018-10-18,266.0,39.0,1288.0,11
2018-10-19,424.0,85.0,820.0,8
2018-10-20,515.0,48.0,85.0,1
2018-10-21,522.0,46.0,1075.0,9
2018-10-22,516.0,161.0,913.0,8
2018-10-23,463.0,67.0,235.0,2
2018-10-24,630.0,69.0,350.0,3
2018-10-25,2.0,0.0,42.0,1
2018-10-26,931.0,148.0,221.0,2
2018-10-27,1130.0,188.0,704.0,6
2018-10-28,1549.0,272.0,345.0,4
2018-10-29,71.0,8.0,116.0,1
2018-10-31,128.0,8.0,100.0,1
2018-11-01,1312.0,416.0,277.0,3
2018-11-02,1364.0,215.0,468.0,4
2018-11-03,267.0,30.0,358.0,3
2018-11-04,234.0,31.0,271.0,2
2018-11-05,502.0,163.0,312.0,3
2018-11-07,1464.0,172.0,640.0,6
2018-11-08,55.0,2.0,123.0,1
2018-11-09,3354.0,650.0,644.0,5
2018-11-10,1007.0,115.0,370.0,3
2018-11-12,162.0,13.0,140.0,2
2018-11-13,300.0,49.0,274.0,2
2018-11-14,31058.0,12848.0,235.0,3
2018-11-16,1358.0,171.0,410.0,4
2018-11-17,204.0,45.0,99.0,2
2018-11-18,1565.0,203.0,260.0,2
2018-11-19,656.0,101.0,492.0,4
2018-11-20,416.0,70.0,301.0,3
2018-11-21,140.0,9.0,93.0,1
2018-11-22,406.0,38.0,330.0,3
2018-11-23,419.0,61.0,275.0,3
2018-11-24,972.0,208.0,186.0,3
2018-11-25,109.0,27.0,49.0,1
2018-11-27,2169.0,353.0,362.0,4
2018-11-28,3096.0,814.0,478.0,4
2018-11-29,2002.0,251.0,578.0,5
2018-11-30,460.0,55.0,276.0,3
2018-12-01,852.0,427.0,290.0,3
2018-12-02,761.0,245.0,436.0,4
2018-12-03,1117.0,153.0,283.0,3
2018-12-04,1682.0,260.0,303.0,3
2018-12-05,1272.0,527.0,344.0,3
2018-12-06,592.0,72.0,971.0,10
