,created_at,text,favorite_count,retweet_count
0,2018-12-05 00:09:08,落合先生のツイート数が年末に向けて増加傾向。多忙さとツイート数は相関するのか。お身体にお気を付けください。 https://t.co/zpNzpqZ4h7,6,0
1,2018-12-04 23:12:29,あとはデプロイ。今日帰ってきたらやろう。レスポンシブ対応が勉強不足でクソなのでPCから見てもらう用のアプリとなってしまったけど、それは次への課題とするか。。,0,0
2,2018-12-03 23:42:27,bokeh使ってるとMatplotlibの方が自分的には使いやすく感じる。ただ機能も多くてWebページへの埋め込みやインタラクティブな可視化の仕方を知っとくはきっと生きる気がする。,1,0
3,2018-12-03 23:35:17,TwitterIDにtheをつけるかどうか迷ったけどやっぱダサいから消そう,1,0
4,2018-12-03 23:33:41,プロトタイプっぽいのが出来上がった。プロット部分はBokeh。 #DAINOTE https://t.co/EVfAoFrqKV,5,2
5,2018-12-03 15:27:04,ノードとエッジの可視化はよく見るけど、エッジだけの可視化ってこんなお洒落なんですね https://t.co/5mzjdnZlwR,0,0
6,2018-12-03 15:23:44,Data Visualization Tips https://t.co/E0rPDY0psf',0,0
7,2018-12-02 23:25:51,Pythonのテストモジュール見たところ、docstringは簡易テスト、unittestはかっちり目なテストという印象を持った。docstringは使いこなせば簡易なテストがパッと書けて便利そう。,2,0
8,2018-12-02 23:05:14,メモ：assert知らんかった https://t.co/Ao0FqIFAej,1,0
9,2018-12-02 22:55:51,これ絶対「challenging」を「挑戦的」って訳しただろって訳をオライリーの本でよく見る。ニュアンスが若干変わっちゃう気がする。,0,0
10,2018-12-02 22:11:50,Heroku等にデプロイする時にAPI認証キーとかユーザーに見られたくないものの設定方法が何が最適なんでしょうか？この記事のやり方が一般的なのでしょうか？https://t.co/lrdy5iuALM,0,0
11,2018-12-02 14:18:36,茶色になれました！ https://t.co/75WMlhsEiN,10,0
12,2018-12-02 13:51:36,ABC114 1時間40分 AC: AB WA: C(TLEに手が出ず) #AtCoder,0,0
13,2018-12-02 13:46:57,ABC久しぶりだった。B問題すごく難しいわけではないけど、精進のおかげかAB問題を10分くらいで解けた。Cは愚直解しか分からず7テストくらいのTLEを解決できず。,1,0
14,2018-12-02 13:42:40,DPってなんですか,0,0
15,2018-12-01 23:39:58,the Advent がキリスト降臨(前4週間)て意味で、Advent Calenderなのか。なんかすっきり。,0,0
16,2018-12-01 18:01:20,今日はもう寝る,0,0
